告警类型
```markdown
| jdclass | 名称 | 说明 |
|---------|------|------|
| 1001 | 入侵检测-主机扫描 | 攻击者通过发送特定网络数据包（如 ICMP、TCP、UDP 等），探测目标主机的存活状态、开放端口、运行服务、操作系统类型等信息，为后续渗透攻击（如漏洞利用、权限获取）做准备。通常来自入侵检测系统（IDS/IPS）。 |
| 1002 | 入侵检测-应用扫描 | 针对目标系统中应用程序、服务接口、业务逻辑的侦察行为，攻击者通过发送特定请求（如 HTTP、SQL、LDAP 等协议数据），探测应用层的漏洞（如注入漏洞、弱口令、文件上传缺陷）、功能模块或数据结构，为后续应用层攻击（如 Web 渗透、API 滥用）做准备。 |
| 1003 | 入侵检测-应用漏洞攻击 | 攻击者利用应用程序、服务或业务逻辑中已存在的安全缺陷，直接执行恶意操作（如代码执行、数据窃取、权限绕过）的行为。与 "应用扫描"（仅探测漏洞）不同，这类攻击已进入实际利用阶段，直接对系统可用性、数据安全性构成威胁。 |
| 1004 | 入侵检测-肉鸡行为-暴力破解 | 黑客对网络设备（服务器、个人电脑等）植入恶意程序（如木马、僵尸网络程序），通过远程指令操控其执行恶意行为（如攻击、数据窃取、流量劫持等）。通过自动化工具，用大量预设的用户名和密码组合尝试登录系统、应用或服务，利用系统弱口令或漏洞获取访问权限的攻击方式。 |
| 1005 | 入侵检测-肉鸡行为-DDoS | 利用大量受控设备（如肉鸡、僵尸网络）组成 "攻击集群"，向目标服务器或网络发送海量无效请求，消耗其计算资源、网络带宽或连接数，导致正常用户无法访问服务的攻击方式。 |
| 1006 | Web攻击-Web注入攻击 | 利用 Web 应用程序在处理用户输入时的安全漏洞，将恶意代码或指令插入到应用程序的输入参数中，从而获取数据、控制服务器或破坏系统的攻击方式。其核心原理是：应用程序未对用户输入进行有效验证和过滤，导致恶意输入被当作正常指令执行。 |
| 1007 | Web攻击-文件包含攻击 | 攻击者利用 Web 应用程序中文件包含功能的安全漏洞，通过篡改包含文件的参数，强制应用加载恶意文件（如本地恶意脚本或远程恶意代码），从而执行任意命令或获取服务器控制权的攻击方式。其核心原理是：应用未对包含文件的路径参数进行严格校验，导致攻击者可操控文件加载逻辑。 |
| 1008 | Web攻击-恶意-后门文件攻击 | 攻击者通过植入恶意文件（即 "后门"），在目标系统中预留长期访问通道的攻击方式。这类文件通常伪装成正常程序或隐藏于系统目录，可在未经授权的情况下远程执行命令、窃取数据或控制服务器。其核心本质是：通过持久化恶意文件绕过系统认证机制，建立隐蔽的控制权维持渠道。 |
| 1009 | 肉鸡行为-可疑连接 | 被控主机（即 "肉鸡"）与外部服务器或其他设备建立的异常网络通信链路。这类连接违反了系统正常的网络行为模式，通常用于攻击者对肉鸡的远程控制、数据窃取或恶意指令传输。其核心特征是：非授权、隐蔽性、持续性的网络交互，且通信目标与正常业务无关。 |
| 1010 | 肉鸡行为-恶意软件行为 | 被控主机（肉鸡）中运行的恶意程序执行的一系列危害系统安全的操作。这类行为违反了系统正常的功能逻辑，通常服务于攻击者的控制、窃密或破坏目的。其核心特征是：非授权性、隐蔽性、破坏性，且行为模式与正常软件显著不同。恶意软件行为不仅指程序本身的代码执行，还包括其引发的系统资源占用、网络通信、数据篡改等连锁反应。 |
| 1011 | 肉鸡行为-病毒木马 | 被控主机（肉鸡）中运行的病毒或木马程序所执行的一系列恶意操作。这类程序以非授权控制、数据窃取或系统破坏为目标，通过伪装、隐藏等手段侵入系统，并在用户无感知的情况下执行指令。<br>病毒（Virus）：具备自我复制能力，可感染其他文件或系统资源（如 PE 文件、脚本）；<br>木马（Trojan）：无自我复制功能，但通过伪装（如伪装成正常软件）诱使用户主动运行，充当攻击者的 "后门"。 |
| 1012 | 肉鸡行为-可疑操作 | 被控主机（肉鸡）在非授权或异常状态下执行的一系列违反正常业务逻辑的操作。这类行为通常由攻击者通过恶意程序（如病毒、木马）或远程控制指令触发，目的是实现隐蔽控制、数据窃取或系统破坏。其核心特征是：操作主体非用户主动触发、操作目标违反系统安全策略、操作过程试图绕过安全检测。 |
| 1013 | 肉鸡行为-横向攻击 | 攻击者在控制一台主机（肉鸡）后，利用该主机作为跳板，向同一网络内的其他主机或系统发起渗透的行为。其核心逻辑是：从单点突破扩展至网络全局控制，通过横向移动绕过边界防护，实现对目标网络的深度渗透。这类行为常见于高级持续性威胁（APT）攻击中，攻击者旨在获取更核心的系统权限或敏感数据。 |
| 1014 | 肉鸡行为-系统后门 | 攻击者在控制主机（肉鸡）后，为实现持久化控制而植入的隐藏通道或程序。其核心特征是：绕过正常认证机制，为攻击者提供长期、隐蔽的系统访问权限。后门程序通常与恶意软件（如木马、Rootkit）结合使用，可在用户无感知的情况下执行远程指令、窃取数据或作为横向攻击的跳板。 |
| 1015 | 信息泄漏 | 敏感数据未经授权被披露、传播或获取的安全事件。其核心特征是：数据脱离预期的安全控制范围，导致机密性（Confidentiality）被破坏。泄漏的信息可能包括个人隐私、商业机密、系统配置等，攻击者常通过恶意软件、社会工程或系统漏洞实施窃取，而无意的人为失误（如误发邮件）也可能导致泄漏。 |
| 1016 | 其他-容器可疑行为 | 容器环境中偏离正常业务逻辑的操作或状态，可能预示着安全威胁（如容器逃逸、恶意程序植入）。其本质是：容器 runtime、镜像或内部进程出现与业务预期不符的异常活动。由于容器共享宿主机内核且资源隔离性弱于虚拟机，可疑行为可能成为攻击链的关键节点（如从容器突破至宿主机）。 |
| 1017 | 其他-日志审计-用户行为分析 | 通过采集、解析和挖掘系统日志数据，识别用户操作模式与异常行为的安全分析技术。其本质是：将用户在信息系统中的操作轨迹转化为可量化的行为特征，通过比对基线或异常模型发现潜在风险。 |
| 1018 | 其他-日志审计-安全设备日志 | 对防火墙、入侵检测系统（IDS）、入侵防御系统（IPS）、WAF（web 应用防火墙）等安全设备产生的日志进行采集、解析、存储及安全分析的过程。其核心目标是：通过挖掘安全设备日志中的攻击痕迹、异常流量和防护记录，还原网络安全事件全貌，为威胁溯源、防御优化和合规审计提供数据支撑。 |
```

目前平台支持的告警类型包括网络攻击、系统异常、安全漏洞、恶意软件活动、异常登录行为、数据泄露风险等。具体类型可能根据实际平台配置和功能有所不同。
